待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
家で食事する描写ないの怖い,没有在家吃饭的描写好可怕
いじめもすでにあるみたいだし給食まずいはすでにストレス性の拒食症が出ている?,好像已经被欺凌了，供餐难吃也可能是压力性的厌食症发作了？
←給食を完食したのを驚かれてたのを見るに虐めの1つで何か混ぜられてたんじゃないか？ゴミとか,←看到她吃完供餐大家都很惊讶，该不会是欺凌的一环被加了什么东西吧？比如垃圾什么的
美味しい給食は令和の時代で絶滅危惧種,美味的供餐在令和时代是濒危物种
いじわるのないがっこうなんて普通のはずのものなのにな・・・,没有欺凌的学校本该是理所当然的啊・・・
ロリかわいい,萝莉可爱
意地悪のない学校(T_T),没有欺凌的学校(T_T)
この頃にはもうやられていたのか,这个时候就已经被搞了吗
母親には何も求めてないの本当さぁ,对母亲什么都不求了，真的是…
自殺していった子供たちは、そう思いながら死んでいったんだろうか・・・,那些自杀的孩子们，也是这么想着死去的吧・・・
ハッピー星どれ？,Happy星是哪个？
再婚しても魅了しちゃうしずかちゃんに手を出さないお父さんじゃないとな,就算再婚了，也得是个不会对充满魅力的静香酱出手的父亲才行啊
あれがデネブアルタイルベガ,那就是天津四、牛郎星、织女星
星「その願いは私の能力を越えている……さらばだ……」,星星「那个愿望超出了我的能力范围……再见了……」
無償化したら粗末な給食になるのは当然 苦情はわずかな給食費出し渋るモンペにね,免费之后供餐变得粗劣是当然的，要去抱怨就去跟那些不肯出一点点餐费的怪兽家长说
アニオリ？,动画原创？
まりな以前から虐められてるのかぁ…,在真理奈之前就被欺负了吗…
北海道こわっぴ,北海道好可怕pi
いい親と金,好父母和钱
給食おいしくないんだ…,供餐不好吃啊…
チャッピーだけが救い,恰比是唯一的救赎
他愛のないことの大切さ,无聊小事的重要性
学校のトイレで安心してウンコが出来る環境,能在学校厕所安心拉屎的环境
居なくなるお父さん,会消失的爸爸
干し柿レーダー,柿饼雷达
泣くな、男だろ(？),别哭，是男人吧(？)
そんな物は無い,没有那种东西
何気に母親に対しては不満ない？,不经意间对母亲没有不满？
これ昔か,这是以前吗
どこにも居場所なんて無い,哪里都没有容身之处
ひとつなぎの大秘宝でしょ,是One Piece大秘宝吧
mwぅ、,mwぅ、
金!!!,钱!!!
可愛そうに,真可怜
富、名声、力,财富、名声、力量
(|)愛ですよ,(|)是爱哦
（I）愛です愛ですよシズカ,(I)是爱哦是爱哦静香
チャッピー君,恰比君
(|)←これで例の枢機卿表せるのほんま草,(|)←用这个能表示那位枢机卿真的草
母に何も求めないの母が自分にもう興味がないのを認めたくないんだろうな,对妈妈什么都不求，是不想承认妈妈已经对自己没兴趣了吧
星「無理です…」,星星「办不到…」
ギャルのパンティ,辣妹的胖次
しあわせ,幸福
ハッピーで埋めつくしたレストインピースの悪魔,用happy填满的rest in peace的恶魔
しずかに幸せな時期はあったのか・・？,静香有过幸福的时期吗・・？
富！名声！力！,财富！名声！力量！
みんな星になってしまえー,大家都变成星星吧—
既に意地悪されてるのか,已经被欺负了吗
タッセルな,是流苏（tassel）啊
ワンピースは草,One Piece草
せめてプレアデス星人に会っていたら,至少要是遇到过昴宿星人就好了
金さえあればだいたい手に入るけどこの作品の子供たちは金があっても手に入らないものに飢えてるねぇ,只要有钱大部分东西都能到手，但这部作品里的孩子们渴望着有钱也得不到的东西呢
金ェ！,钱啊！
星だけに？,只对星星？
吹き替えの帝王,配音的帝王
男だろ？,是男人吧？
タッセルは全てを解決する,流苏（tassel）能解决一切
満足,满足
最終回に凄い導入ぶち込んできたな,最终回塞了个好厉害的导入啊
お金,钱
圧倒的な力…,压倒性的力量…
女！,女人！
タッセルだろ！,是流苏（tassel）吧！
(I)<おやおやおやおや、私の所に来ますか？,(I)<哦呀哦呀哦呀，要到我这里来吗？
思い出せ！ しずか！ お前は本当は何が欲しかったんだ！,想起来！ 静香！ 你真正想要的到底是什么！
おはなし相手,聊天对象
スイッチ２,Switch 2
（圭）「立派なエンジニアに育ててあげよう！」,（圭）「把你培养成优秀的工程师吧！」
白咲花ちゃん？,白咲花酱？
(|) おやおや,(|) 哦呀哦呀
お前らタッセルしか頭にないだろ,你们脑子里只有流苏（tassel）了吧
スマホ📱,手机📱
これ悲しすぎる,这个太悲伤了
タッセルなんだな,是流苏（tassel）啊
しずかちゃんのASMR,静香酱的ASMR
親の愛情と関心？,父母的爱情和关心？
男だろ？,是男人吧？
ハンカチは用意したか？,手帕准备好了吗？
星はやくね？,星星好快？
身に覚えの無い星に,向着陌生的星星
五体満足ならいいじゃん,五体满足不就好了吗
忘れるな,不要忘记
ゆるふわ日常(視聴者の願い),轻松日常(观众的愿望)
？？？「お前の欲しいものはなんだ？」,？？？「你想要的东西是什么？」
分からん,不知道
身に覚えのない星に願い撃つ,向着陌生的星星许下愿望
切ない,好心痛
友達,朋友
おんな,女人
金！力！権力！,金钱！力量！权力！
錬金術,炼金术
アレクシス「アカネ君、そういう時は怪獣を作ればいいんだよ」,阿莱克西斯「茜君，那种时候只要制造怪兽就行了哦」
最終回に通常OPが流れるアニメは名作,最终回还放普通OP的动画是名作
金,钱
←作品テーマ的に「おはなし相手」正解やろなぁ,←从作品主题来看「聊天对象」是正确答案吧
見納めOP,最后一次看的OP
OPやるんだ。。。,还放OP啊。。。
最終回は普通のopか,最终回是普通的op吗
chat gpt (チャッピー),chat gpt (恰比)
ハッピー星からー追放されたー,从Happy星—被流放了—
覚えとけよ,给我记住了
ちゃんとした親だよ,是正经的父母啊
しずかちゃんの贖罪,静香酱的赎罪
しずかちゃんの欲しかったモノ,静香酱想要的东西
いい声だ,好听的声音
身に覚えのない（しずか父）,陌生的（静香爸）
原作も短かったけどアニメも短いのな,原作也很短，动画也这么短啊
これで最終回だ…❗️,这是最终回了…❗️
これで見納めのOPか…,这是最后一次看这个OP了吗…
愛,爱
忘れたとは言わせん,我不会让你说忘了的
見に覚えろ,给我记住
たこぴーおにつえええええ,章鱼P强得像鬼一样啊啊啊
愛だよ,是爱哦
身に覚えのない(忘却済み),陌生的(已经忘了)
ようやく、ようやくこの見る地獄が終わる・・・,终于，终于这个观看地狱要结束了・・・
最終回で通常OPは名作の証,最终回放普通OP是名作的证明
最終話にOPがあるアニメは名作,最终话有OP的动画是名作
この歌を聞くのも最後か....,听这首歌也是最后一次了吗....
この悔しさを忘れはしない,这份悔恨绝不会忘记
鎮魂歌,镇魂歌
あれ？宇宙船の窓って1こじゃないっぴ？,欸？宇宙船的窗户不是只有一个吗pi？
＾ε＾,＾ε＾
ようやく、ようやくこの見る地獄が終わる…,终于，终于这个观看地狱要结束了…
あ・の,是・Ano
いい加減覚えろよ✋💥,差不多给我记住了啊✋💥
覚えてろよ,给我记住
あのちゃんありがとう！！！！！！！！！,Ano酱谢谢你！！！！！！！！！
北方領土も見納めッピね……,北方领土也是最后一次看了pi呢……
身に覚えのない星（地球）,陌生的星星（地球）
見納めか,最后一次看了吗
流石に効果音は付かないか,果然还是没加音效吗
F16じゃね？,是F16吧？
傾いた尾翼、単発、ウェポンベイ。35かな。16はない,倾斜的尾翼、单发、武器舱。是35吧。不是16
これで最後のオープニングか…,这是最后的OP了吗…
北方領土エリカちゃんとタコピー...奇しくも同じ構えだ...,北方领土Erika酱和小章鱼...奇妙的是同一个姿势...
鬱病ワイこれに助けられる,抑郁症的我被这个拯救了
不労所得,不劳而获的收入
大韓航空機ソ連空軍爆破事件,大韩航空客机苏联空军爆炸事件
ええ…F35でしょこれは　どうやったら見間違えるんだ,欸…这是F35吧 怎么会看错的
宇宙を旅して目についた,在宇宙旅行时映入眼帘
踏み外したら,如果踏空了
単発なのに垂直尾翼が二対。なんだ？,明明是单发却有两对垂直尾翼。这是啥？
発注ミスOP,下单失误OP
願い鬱,愿望抑郁
いい曲,好曲子
これでおわりか,这样就结束了吗
きたな,来了啊
もう最後か…,已经最后了吗…
すっかりOPに騙されたよ,完全被OP骗了啊
覚えとけよ,给我记住了
愛,爱
最終回でOPをカットしないアニメは名作,最终回不剪OP的动画是名作
撃墜,击坠
最後かぁ…,是最后了吗…
コメに北方領土エリカちゃんが紛れてて草,评论里混进了北方领土Erika酱草
足きもっ,脚好恶心
星だけに?,只对星星？
地球を必ず支配する,一定要支配地球
母親の用意する食事が偏ってると、普通の味じゃ物足りないとか在るかもね。,如果母亲准备的饭菜很偏科，可能会觉得普通的味道不够吧。
ドラえもんのび太と間違えたタコ,把哆啦A梦大雄搞错了的章鱼
このopすき,喜欢这个op
OPは歌詞は完璧に内容に沿ってるじゃん,OP的歌词不是完美贴合内容嘛
火山のこと高校生まりなちゃんに聞いてたな…,关于火山的事问了高中生的真理奈酱呢…
見に覚えないんか…,记不住吗…
opあった,有op
ワンツーで,one two地
もう最終話か…,已经最终话了吗…
パンケーキ,Pancake
もう終わり？,已经结束了？
ここの囚人服でムチッってなってるタコピーが俺を狂わせる,这里穿着囚服显得肉肉的小章鱼让我发狂
地球を破壊すれば良かったんだ！,把地球破坏掉就好了！
