就是这张脸,この顔です
BGM搞错了吗？,BGM間違えたかい？
去警察局？,警察に？
啊啊诶啊？,ああえあ？
GO去派出所,交番にGO
（；3；）,（；3；）
血可以代替lotion呢,血がローション代わりになるね
去地狱啊,地獄へな
谢谢你维瓦尔第大叔,ヴィヴァルディのおじさんありがとう
教官不相信,教官は信じない
明明一开始就没有归宿还说「走吧」,居場所なんて最初からないのに「行こうか」
充满恶意的BGM,悪意のあるBGM
维瓦尔第「,ヴィヴァルディ「
嘛比起neglect还是直接施暴更讨厌吧,まぁ　ネグレクトよりも直接暴力ふるってくる方が嫌だろうしなぁ
去派出所吧，请,交番に行って、どうぞ
心情我懂,気持ちはわかる
这里是泡泡浴被带去洗澡时的我,ここソープでお風呂に連れていかれるときの俺
这里E.T.,ここE.T.
那就行了吧,ほなええかぁ
这里漫画里还以为是晚霞结果是晴天啊,ここ漫画だと夕焼けかと思ったけど晴れてんだ
去哪里･･･？,どこに･･･？
说走去哪里？,行くってどこに？
妈妈会给买饭的钱呢,ママは飯を買う金はくれるしな
funyu,ふにゅ
杀戮七日,殺戮七日
是人生的春天呢☆,人生の春だよねっつって☆
地球,ちきう
外星人基本都这么干所以是普通的事,異星人は大体やってるから普通の事
去哪儿？！w,どこへ？！ｗ
E.T.,E.T.
去起始之街希干希纳区,始まりの街シガンシナ区にだ
为了让她happy、、、才来的吧？,ハッピーにするために、、、ここにきたんだよな？
这里h,ここえっち
去警察局,警察に
去警察局吗？,警察行くの？
完全犯罪成立,完全犯罪成立
维瓦尔第「」,ヴィヴァルディ「」
BGM太奇妙了,BGMが奇妙すぎる
去哪儿啊—,どこいくねーん
明天会是更好的一天吧，哈姆太郎,明日はもっと良い日になるよね、ハム太郎
喂喂，把尸体变成叶子再走啊,おいおい、死体葉っぱにしていけよ
BGM草,BGM草
真的作画演出都很好啊w,ほんま作画演出両方ええなｗ
好美啊,綺麗やな
要是有变成叶子的能力的话・・・,葉っぱに変える能力があれば・・・
自首,自主
打扫时间的BGM,お掃除の時間のBGM
打扫BGM,掃除BGM
能感受到生命跃动的好BGM啊,生命の躍動を感じるよいBGMだ
EVA,エヴァ
别放这曲子了w,この曲やめいw
比happy星还弱肉强食？,ハッピー星より弱肉強食？
BGM完蛋了草,BGM終わってて草
好像很y,なんかｙらしい
是Star Trek吗?,スタートレックかな?
也没说要让全员幸福，只是发誓要让静香笑而已嘛...,全員を幸せにするなんて言ってないもんな、しずかを笑顔にするって誓っただけだもんな...
与其说是着陆不如说是坠落吧,着陸ってより墜落だよな
没有变成树叶的道具吗？,木の葉にする道具とないんか？
维瓦尔第先生对不起piko,ヴィヴァルディさんごめんピ
去哪里？,どこに？
章鱼噗是没有黏滑的感觉吗,タコプーってぬめりはない感じなのかな
腿好细腰好长,脚ほっそ胴なっが
mission达成了嘛！虽然委托人以外都不幸了,ミッション達成じゃん！依頼者以外不幸になるけど
这个用那个鱼腥草是不是能搞定？,これ例のどくだみでなんとかなるんじゃない？
击破deus ex 茉莉奈酱正好7天神创造了世界,デウス・エクス・マリナちゃんを撃破してちょうど７日で神は世界を作った
哦她笑了这样就happy end了呢！,おう笑ってくれたしこれでハッピーエンドやな！
7天杀了当地人的章鱼,7日で現地人を殺ったタコ
章鱼噼换我来,タコピーそこ変われ
👮,👮
把章鱼噼戴着的那个鱼腥草的玩意儿插上不就好了？？？？,タコピーがつけてるドクダミのやつ刺しとけばよくね？？？？
我，杀了人piko,僕は、人を殺したッピ
如果在外太空坠机遇难了，根据需要也会这么干吧,もし外宇宙で墜落遭難したら、必要に応じてやってしまうだろう
七天1 kill啊,七日で1キルか
体长太长了！,体長スギィ！
神完成了所有的工作，休息了,神は全ての御業を終えられ休まれた
说起来七天在基督教里是神创造世界的天数，是有意这么设定的吗,そういや七日ってキリスト教だと神が世界を創った日数なんだけど、意識した設定だったりするのかな
喜欢从所有stress中解放出来时的表情,全てのストレスから開放されたときの表情好き
我的外号是章鱼噼所以被上田丽奈叫很开心,ワイのあだ名タコピーだから上田麗奈に呼ばれてうれしい
好细,細っ
确保,確保
bgm真的闪闪发光,bgmキラッキラなのほんと
不仅限于基督教，7也经常被当成特殊数字对待呢,キリスト教に限らず、7って特殊数字の扱いされること多いよね
好和平啊,平和やな
哈姆章鱼,ハムタコぅ
要是人杀的话这个BGM就对了,にんころならこのBGMは合ってた
奋斗物语？,がんばり物語？
在你面前不谈头发的话题了,お前の前で髪の話やめるわ
把沙都子叫来,さとこちゃんをよべ
这,こ
命运回卷士动画化恭喜,運命の巻戻士アニメ化おめ
开心,たのし
死档存档,詰みセーブ
说起来突入大气层还完好无损,そういや大気圏突入しといてみき
死档了才是正戏,詰んでからが本番
不就是Murderer (杀人)吗,Murderer (殺人)　じゃあねえか
嘛活着的话总会有一两个希望他死的人,まあ生きてりゃ死んでほしい人間のひとりやふたりいるもんだぜ
温馨juvenile的开始呢,ほのぼのジュブナイルの始まりだね
别丢下啊,置いてくな
比卡卡罗特还有成果,カカロットより成果出してる
这可怎么办啊,どうすんだこれ
到这里为止都是tutorial的话难度太高了,ここまでがチュートリアルは難易度高すぎる
这什么《寄生兽》后藤战后一样的感觉,何この寄生獣の後藤戦後みたいな感じ
我们的战斗才刚刚开始！,俺たちの戦いはこれからだ！
你快回你的行星去吧,お前もう惑星に帰れ
放置着就行了吗？,放置でええんか？
～终～,〜終〜
是你开始的故事吧・・・（威压,お前が始めた物語だろ・・・（威圧
厨余垃圾会有球潮虫来分解的,生ゴミはダンゴムシが分解してくれる
茉莉奈酱的故事已经结束了呢,まりなちゃんの物語は終わっちゃったのにねぇ
超过1周了！！,1週間を超えたぜ！！
停止了loop终于能前进了呢…,ループを止めてやっと前に進めたんやなって…
因为是你开始的故事所以想点办法……想点办法……,お前が始めた物語なんだからなんとかしろ……なんとかしろ……
只能前进了,もう進むしかない
野狗的饭,野犬のごはん
身子是不是太长了？,胴長すぎない？
我们的故事才刚刚开始!!,俺たちの物語はこれからだ!!
那个不要的话我可以拿走吗？,それいらないなら貰っていい？
放置的话野狗之类的会来翻吧,放置したら野犬とかが漁るかなぁ
接下来会怎么样啊…,これからどうなるんだ…
在那之前先把4具尸体埋了吧，,そのまえに4体埋めよっか、
不快点变成叶子的话…,早く葉っぱにしないと…
礼奈的奋斗物语要开始了哦！,レナの頑張り物語が始まるよ！
不是 别丢下尸体啊—💦,いや死体おいてくなー💦
逃离茉莉奈酱之手的章鱼噼，等待着它的是又一个地狱,まりなちゃんの手を逃れたタコピーを待っていたのは、また地獄だった
我们的战斗才刚刚开始,おれたた
不变成叶子的话…,葉っぱにしないと…
你将会知道,君は知るだろう
熊吃了这个记住人肉的味道把它当成食物变成食人熊的哦！！,熊がこれ食って人肉の味覚えて餌認識して人食い熊になるゾ！！
这里，没有标题咚！的话太可怕了piko！,ここ、タイトルドーン！が無いと怖過ぎるっピ！
放在这种地方不行吧…把沙都子带过来！,こ　ん　な　と　こ　ろ　に置いてちゃ駄目だろ…さとこちゃん連れてこい！
曾经是茉莉奈酱的东西,まりなちゃんだったモノ
已经不是茉莉奈酱了,もうまりなちゃんじゃない
不是茉莉奈酱的遗体,まりなちゃん遺体じゃない
BGM笑,BGM笑
至少埋一下啊,せめて埋めろよ
不能再脱内裤了,もうパンツ脱げない
别放置啊—👆💦,放置すなー👆💦
夏天的话腐败很快的哦,夏だと腐敗が早いぞ
从这里开始才是真正的地狱,ここからが本当の地獄だ
给小啾吃吗,チャッピーに食わすか
像一幅宗教画一样神圣的cut,一枚の宗教画のような神々しいカット
别放置尸体啊w,死体放置すんなｗ
遗弃尸体草,死体遺棄草
从这里开始才是真正的梦幻剧,ここからが本当の夢芝居だ
腐烂的是地球上的你们desu by章鱼噼(๑>◡<๑),腐っているのは地球のお前らでぃすbyタコピー(๑>◡<๑)
没问题!之后虫子会吃掉的,大丈夫!あとは虫さんが食べてくれる
不埋了或者剁碎的话！,埋めるか刻むかしないとさぁ！
果然暴力…暴力能解决一切,やはり暴力…暴力は全てを解決する
笑了,わろた
太粗了piko…,太すぎるッピ…
“还能用”大叔也好像会来翻,まだ使えるおじさんも漁りそう
是触手物吗？,触手モノですか？
※这个OP在各种意义上都是fiction,※このOPは色々な意味でフィクションです
做成章鱼烧吧,たこ焼きにしたろか
在北海道的话会有棕熊,北海道ならヒグマが
做过头了piko,やりすぎだっピ
这可怎么办啊w,どーすんのこれｗ
放人杀的OP也没有违和感,にんころOP流れても違和感ない
喜欢OP开头的无声,OPの最初の無音すき
在清爽的周六早上看的《章鱼噼的原罪》别有一番风味,さわやかなドアサに見るタコピーの現在は格別
real life里没有reset按钮哦,リアルライフにリセットボタンは無いぞ
好耶—,やったー
在没有印象的星球上,身に覚えのない星に
BPO提交用OP,BPO提出用OP
是穗饰回好期待,タッセル回だ楽しみ
连OP都藏不住的疯狂,OPでももう隠しきれない狂気さ
就当是被熊干掉的吧,熊にやられたことにしよう
这状况上静香酱是加害者吗,これ状況的に静ちゃんが加害者か
从这里开始,ここから
原罪（SATSUGAI）,原罪（SATSUGAI）
啊啊好痛苦,あぁもう辛い
哼—?,ふーん?
还以为会一直重来到抽到好的为止，吓了一跳,都合のいいの引くまで何回もやり直すと思ってたから驚いたわ
是F16吗？,F16かな？
camera能修好吗,カメラ修理出来んのかな
ru,る
That酱,Thatちゃん
尸体会变臭的哦,死体臭くなるぞ
